rollno,quiz1,quiz2,midsem,endsem,total-marks,grades
24B264,8,1,5,11,25,F
24B326,7,9,11,1,28,F
24B335,5,1,2,17,25,F
24B339,4,5,1,8,18,F
24B404,5,7,14,9,35,F
24B412,8,6,1,6,21,F
24B414,1,1,27,1,30,F
24B421,6,3,12,3,24,F
24B453,4,4,13,6,27,F
24B467,6,9,3,15,33,F
24B497,4,9,7,2,22,F
24B523,8,9,11,1,29,F
24B549,7,2,9,7,25,F
24B559,9,5,10,5,29,F
24B560,1,1,18,4,24,F
24B563,4,10,2,10,26,F
24B595,2,9,14,2,27,F
24B604,4,9,7,15,35,F
24B613,9,4,9,4,26,F
24B683,7,1,2,5,15,F
24B701,4,1,3,8,16,F
24B715,6,2,5,5,18,F
24B728,1,1,9,21,32,F
24B764,1,9,12,1,23,F
24B774,3,5,1,13,22,F
24B775,6,2,7,17,32,F
24B778,10,1,4,5,20,F
24B782,2,5,7,7,21,F
24B784,9,5,2,14,30,F
24B793,4,6,10,3,23,F
24B805,4,1,4,16,25,F
24B809,8,7,1,4,20,F
24B838,5,3,4,3,15,F
24B852,2,2,22,1,27,F
24B857,3,1,26,1,31,F
24B878,7,6,15,2,30,F
24B886,7,2,2,18,29,F
24B899,2,3,5,19,29,F
24B901,5,7,1,9,22,F
24B914,9,8,6,4,27,F
24B922,8,2,16,9,35,F
24B928,4,6,1,8,19,F
24B997,4,7,23,1,35,F
