rollno,quiz1,quiz2,midsem,endsem,total-marks
23B464,8,7,10,11,36
24B604,4,9,7,15,35
24B914,9,8,6,4,27
23B040,10,6,1,42,59
23B563,8,3,5,11,27
24B677,4,3,26,34,67
23B273,1,4,29,19,53
23B794,3,9,20,41,73
24B323,10,4,3,49,66
24B749,4,1,24,15,44
23B071,1,7,10,30,48
24B820,10,9,19,15,53
23B938,6,4,19,44,73
23B353,10,5,9,6,30
24B442,6,8,26,12,52
24B234,1,4,14,22,41
24B851,4,2,2,38,46
23B231,9,9,17,12,47
24B788,2,2,25,32,61
24B942,10,7,20,28,65
24B846,9,3,27,25,64
24B382,1,1,23,38,63
24B574,3,6,7,45,61
24B810,6,9,13,33,61
24B064,6,9,9,28,52
24B416,5,8,1,40,54
23B572,4,7,11,39,61
23B651,5,6,25,22,58
23B309,8,1,6,39,54
24B224,6,2,4,39,51
23B745,5,10,22,44,81
24B787,10,4,28,13,55
23B734,7,1,1,21,30
24B689,1,10,2,32,45
24B701,4,1,3,8,16
23B736,2,8,21,18,49
24B713,10,6,14,37,67
24B308,9,10,6,13,38
23B268,9,5,11,10,35
23B877,9,1,2,30,42
24B880,6,10,21,33,70
24B020,2,10,19,7,38
24B883,10,3,8,45,66
23B629,4,3,3,14,24
23B374,5,6,6,24,41
23B206,2,3,26,7,38
23B898,4,5,27,22,58
24B928,4,6,1,8,19
23B414,5,1,19,26,51
24B479,2,2,29,35,68
24B542,5,1,17,20,43
24B249,4,6,1,41,52
23B417,7,5,20,21,53
24B201,2,5,29,22,58
24B584,7,4,27,19,57
23B558,8,7,14,50,79
23B841,10,9,13,10,42
23B805,8,6,5,40,59
24B844,3,6,17,30,56
23B904,7,4,18,35,64
23B911,2,5,13,41,61
24B576,8,6,14,29,57
24B510,10,5,25,32,72
23B064,5,2,7,1,15
24B046,2,2,23,10,37
24B464,3,10,18,21,52
23B094,10,10,27,2,49
23B258,4,3,5,6,18
24B373,2,4,25,10,41
23B138,7,4,16,16,43
24B023,3,2,15,40,60
24B646,6,10,24,28,68
23B622,9,8,29,6,52
23B962,9,1,20,36,66
23B878,9,9,8,40,66
24B997,4,7,23,1,35
23B539,3,2,13,23,41
24B645,5,9,17,49,80
24B535,3,8,27,46,84
24B506,7,10,11,13,41
23B592,1,6,19,15,41
24B412,8,6,1,6,21
24B082,8,3,12,47,70
23B018,9,2,16,26,53
24B022,10,5,13,31,59
24B573,8,2,22,38,70
23B103,3,9,21,32,65
24B314,2,2,15,18,37
23B372,8,10,22,28,68
23B760,4,9,9,32,54
23B956,4,7,7,21,39
24B961,8,6,20,2,36
24B890,3,8,8,45,64
24B698,6,1,7,35,49
24B163,10,5,2,48,65
24B544,2,3,15,23,43
24B450,8,3,16,27,54
24B642,2,2,29,9,42
24B043,5,1,9,31,46
24B807,7,10,2,38,57
24B877,10,3,9,16,38
24B572,7,2,15,33,57
24B260,4,1,25,9,39
24B192,4,8,19,50,81
24B429,5,2,13,34,54
23B006,4,8,12,32,56
23B609,4,9,13,16,42
23B041,3,10,3,15,31
24B066,7,3,15,31,56
24B084,1,5,5,47,58
23B870,10,9,26,19,64
24B498,6,8,8,46,68
23B362,5,8,12,24,49
24B371,7,2,26,25,60
23B830,9,1,7,6,23
24B397,9,1,8,26,44
23B163,4,3,23,23,53
24B794,3,7,15,28,53
24B317,9,8,14,16,47
24B318,2,8,22,6,38
24B063,5,2,20,1,28
24B284,3,9,25,31,68
24B691,3,7,4,31,45
23B732,4,2,22,4,32
24B524,3,2,26,30,61
24B130,2,3,25,43,73
23B847,7,1,5,37,50
24B121,6,1,16,38,61
23B063,10,4,8,48,70
24B100,8,8,27,15,58
24B857,3,1,26,1,31
23B798,2,6,21,24,53
23B650,7,7,30,19,63
23B066,9,9,11,5,34
24B190,10,7,16,19,52
24B559,9,5,10,5,29
23B506,5,2,27,43,77
24B987,7,5,24,11,47
24B550,6,6,27,15,54
23B902,3,5,11,9,28
23B368,1,2,3,10,16
23B020,10,1,17,14,42
24B232,7,7,26,43,83
23B497,8,6,12,43,69
24B764,1,9,12,1,23
24B613,9,4,9,4,26
24B784,9,5,2,14,30
23B522,3,5,13,23,44
23B791,3,8,26,46,83
24B952,8,3,13,49,73
23B017,6,5,5,19,35
23B649,5,7,13,38,63
24B381,4,4,21,22,51
24B335,5,1,2,17,25
24B841,1,3,29,31,64
24B595,2,9,14,2,27
23B491,1,5,3,35,44
24B778,10,1,4,5,20
24B423,9,6,22,6,43
23B312,7,3,16,46,72
23B393,1,7,12,43,63
23B571,4,4,20,8,36
23B773,1,2,23,2,28
24B433,9,7,2,29,47
24B172,2,3,22,47,74
24B158,4,8,15,27,54
23B406,2,8,7,30,47
24B549,7,2,9,7,25
24B809,8,7,1,4,20
23B493,5,4,14,2,25
24B833,1,10,25,21,57
23B538,9,8,15,4,36
24B561,4,1,17,22,44
23B669,7,8,30,41,86
23B216,8,6,25,23,62
24B519,8,2,27,46,83
24B157,10,9,21,31,71
23B608,1,9,9,8,27
24B207,7,7,26,28,68
23B323,3,3,7,15,28
23B427,7,8,19,22,56
24B390,10,8,28,48,94
23B395,2,2,12,4,20
24B418,8,10,24,11,53
23B333,6,4,7,17,34
24B667,9,4,21,6,40
23B291,10,9,4,21,44
23B337,9,10,6,37,62
23B866,3,1,13,15,32
23B223,10,5,10,50,75
23B844,1,8,24,17,50
24B206,1,4,27,29,61
24B838,5,3,4,3,15
24B616,10,4,11,14,39
23B717,9,9,30,26,74
24B683,7,1,2,5,15
24B437,2,8,10,46,66
24B113,5,7,16,35,63
23B996,1,5,20,20,46
23B952,3,1,29,22,55
23B917,5,10,25,2,42
23B376,1,6,3,30,40
24B427,5,9,14,32,60
24B560,1,1,18,4,24
24B106,6,10,27,26,69
23B304,8,7,7,8,30
23B092,6,8,10,40,64
23B251,7,4,24,37,72
24B139,1,2,24,36,63
23B087,6,3,24,13,46
24B977,10,1,25,40,76
23B411,10,8,14,47,79
24B517,10,8,18,40,76
24B816,4,10,22,43,79
23B142,1,3,10,10,24
24B414,1,1,27,1,30
24B773,3,9,17,14,43
23B763,5,2,17,35,59
24B617,9,4,30,12,55
23B646,9,5,24,34,72
23B382,6,2,12,4,24
23B814,7,8,6,31,52
23B350,5,10,25,25,65
24B497,4,9,7,2,22
23B022,2,6,15,33,56
24B563,4,10,2,10,26
24B960,1,8,29,45,83
24B738,3,7,26,13,49
24B766,6,3,20,33,62
23B940,2,5,30,48,85
24B367,1,6,30,48,85
24B734,7,6,20,43,76
23B635,10,3,30,6,49
24B210,6,3,11,44,64
23B193,8,10,10,31,59
23B404,1,3,11,10,25
24B261,10,9,6,46,71
23B027,6,4,16,8,34
23B045,9,10,6,32,57
24B647,6,10,13,22,51
24B926,7,1,16,15,39
23B946,3,6,7,12,28
24B341,6,7,6,46,65
23B868,8,1,3,43,55
23B435,8,5,7,25,45
24B326,7,9,11,1,28
24B339,4,5,1,8,18
24B940,7,7,26,9,49
23B850,1,7,4,23,35
24B858,6,7,27,33,73
23B705,7,6,8,33,54
23B942,5,10,24,18,57
23B054,1,6,2,7,16
24B878,7,6,15,2,30
24B156,1,5,6,24,36
24B352,10,4,26,11,51
24B901,5,7,1,9,22
23B181,2,5,5,46,58
23B597,10,2,11,11,34
24B715,6,2,5,5,18
23B880,10,5,13,40,68
24B922,8,2,16,9,35
24B652,10,5,21,21,57
23B665,1,7,6,14,28
23B658,1,10,19,5,35
24B467,6,9,3,15,33
23B305,2,6,19,49,76
23B080,3,10,4,24,41
24B782,2,5,7,7,21
24B358,8,9,14,45,76
23B329,4,8,23,30,65
24B221,6,2,12,34,54
24B947,7,1,28,26,62
24B228,7,2,7,8,24
24B071,3,9,23,44,79
23B939,9,6,5,9,29
24B879,1,6,28,50,85
23B070,10,1,20,30,61
23B057,5,9,18,50,82
24B194,2,8,27,14,51
23B375,8,6,11,49,74
24B900,2,1,10,36,49
23B685,4,7,2,3,16
23B630,1,8,29,47,85
23B678,7,5,4,20,36
24B630,1,2,26,44,73
23B082,5,2,26,3,36
24B014,2,1,2,34,39
24B140,8,10,21,17,56
24B018,8,1,28,19,56
23B709,1,7,13,14,35
23B325,1,7,5,26,39
23B265,9,9,23,47,88
24B806,3,3,10,27,43
24B472,10,3,12,20,45
23B631,7,8,25,18,58
24B246,4,8,1,31,44
23B607,3,4,11,31,49
24B016,2,7,24,4,37
23B370,6,7,5,6,24
23B772,1,1,3,8,13
23B426,2,3,10,45,60
24B248,2,2,2,15,21
24B803,5,2,10,24,41
24B805,4,1,4,16,25
23B757,1,4,15,15,35
23B640,9,2,15,14,40
24B990,2,6,11,21,40
24B187,7,10,5,31,53
24B391,7,3,27,25,62
24B840,7,7,16,49,79
23B359,4,3,14,40,61
24B775,6,2,7,17,32
24B886,7,2,2,18,29
23B220,7,4,16,50,77
24B453,4,4,13,6,27
23B192,5,9,12,1,27
23B264,1,9,29,45,84
24B174,6,10,4,26,46
24B166,3,2,14,32,51
23B908,3,2,22,21,48
24B811,5,9,2,45,61
23B536,6,10,11,2,29
23B421,8,8,4,3,23
24B250,7,7,21,15,50
23B429,10,5,27,48,90
24B400,8,7,19,30,64
24B593,5,5,9,48,67
23B052,6,5,19,7,37
23B236,2,7,5,22,36
24B256,9,9,16,16,50
24B180,6,3,26,6,41
24B728,1,1,9,21,32
24B658,7,4,11,25,47
23B812,2,7,10,45,64
23B267,8,9,20,5,42
23B941,8,5,15,16,44
24B948,5,5,2,46,58
24B302,3,1,17,19,40
23B672,4,10,11,44,69
24B485,7,1,18,33,59
24B916,2,10,20,20,52
23B240,1,3,27,50,81
23B670,4,8,12,34,58
23B028,2,8,22,20,52
23B569,4,7,27,19,57
23B005,6,4,5,31,46
23B196,1,6,8,6,21
24B403,6,2,12,35,55
23B991,9,6,19,48,82
23B117,6,6,2,36,50
24B710,2,3,2,38,45
24B682,9,3,3,28,43
24B754,10,9,18,43,80
24B737,9,3,2,31,45
23B331,2,1,30,5,38
23B113,4,5,12,22,43
23B238,3,1,27,3,34
24B626,10,7,16,24,57
24B348,2,1,9,42,54
23B492,3,3,15,10,31
24B730,7,3,9,49,68
23B101,1,3,17,2,23
24B183,9,7,17,35,68
24B523,8,9,11,1,29
23B839,10,3,10,2,25
23B659,4,2,11,8,25
23B449,4,4,22,42,72
24B611,6,7,28,39,80
23B369,2,3,28,50,83
24B637,10,10,4,35,59
24B128,10,4,30,19,63
24B444,10,10,19,13,52
23B954,3,10,29,40,82
24B967,5,1,19,37,62
24B870,7,6,23,39,75
24B271,3,4,19,29,55
24B829,4,8,26,36,74
24B049,4,2,3,39,48
24B424,3,6,25,23,57
23B825,5,9,3,41,58
24B085,5,2,6,5,18
23B003,3,7,19,38,67
24B175,4,7,29,20,60
24B027,3,2,19,5,29
24B981,6,5,27,50,88
23B729,9,10,27,28,74
23B995,5,4,30,50,89
23B750,2,3,9,37,51
23B551,2,3,21,5,31
24B409,6,6,25,45,82
23B700,8,3,15,35,61
24B258,2,5,11,11,29
23B621,6,3,23,8,40
23B154,8,2,21,5,36
24B216,7,8,25,47,87
23B187,2,4,10,4,20
24B104,4,4,22,33,63
23B278,10,1,26,36,73
24B052,4,7,15,50,76
24B436,8,5,4,39,56
23B752,2,7,14,1,24
24B747,9,1,27,39,76
23B973,7,10,28,29,74
23B046,3,4,19,39,65
23B400,6,1,8,16,31
23B584,6,3,25,15,49
24B537,7,1,19,34,61
23B687,8,3,10,48,69
24B220,8,3,13,38,62
23B783,6,2,19,49,76
24B522,7,10,14,38,69
23B555,5,3,1,26,35
23B601,6,5,10,48,69
24B115,6,7,2,10,25
24B483,7,7,22,6,42
23B808,2,1,10,29,42
24B398,2,3,16,34,55
24B366,7,6,30,37,80
24B608,7,10,7,46,70
23B712,6,7,23,12,48
23B918,9,10,20,19,58
24B017,1,2,27,29,59
23B447,8,5,6,31,50
23B526,10,4,22,12,48
23B326,1,10,29,33,73
23B914,1,8,25,39,73
23B100,7,6,24,15,52
24B729,6,2,2,45,55
23B793,6,7,21,17,51
23B284,1,7,9,7,24
24B680,9,2,16,12,39
23B744,3,7,23,8,41
23B483,6,10,13,15,44
24B994,6,4,23,24,57
24B486,7,6,24,3,40
23B159,5,6,3,25,39
23B183,5,8,13,19,45
23B617,1,10,22,12,45
23B515,10,7,8,49,74
23B802,6,5,1,2,14
23B146,2,6,19,11,38
23B346,8,10,23,50,91
